Timestamp,east,north
1,-1.0636901343537044,0.940455733293147
2,-0.49001132246901563,0.62405561285647
3,-0.38347560576341716,-1.6698356479330339
4,0.6925618753296254,0.020998926255087567
5,0.8082753824121196,0.3899088495661632
6,0.5732459322569036,0.22922720224781162
7,0.1786942420530734,0.9540286959317573
8,-0.7534995140850719,-1.617378401115375
9,-1.2176291583322767,-0.15222964007090556
10,-0.9661091923471812,-0.9756831051965119
11,0.4276035348053197,-1.7928580264885325
12,-0.06719997355098459,-2.7385546865677943
13,-1.5966172087827504,-2.667349068422605
14,0.002336513748306099,-3.1247517557962987
15,-0.44072892838241673,-4.511395893812112
16,-0.889150761560317,-4.868714136153339
17,-1.0094859866416332,-4.30156905293633
18,-2.6061746910140315,-4.217287426465325
19,-1.260929208647309,-5.443045465165392
20,-3.003127913649741,-7.555893531563297
21,-2.709587003640201,-4.76142604105617
22,-3.4725900115238884,-4.774417633231009
23,-4.362489295431311,-6.253801544226698
24,-4.489446577514037,-4.836137302359095
25,-5.064193245113498,-5.834113489636771
26,-4.621481964163303,-7.436540516755864
27,-4.693871763518673,-8.778814683194556
28,-3.8982328392980077,-8.31281572459189
29,-3.710467026188085,-9.38912574745771
30,-4.841663427186918,-9.710803088540226
31,-5.550177768891999,-11.304394889072189
32,-6.210549630254723,-10.78150136692646
33,-4.673770018630324,-12.308736994779096
34,-6.427831707062318,-12.692415194465605
35,-6.942005966845667,-11.560102272733323
36,-6.013966281649298,-14.83729747620531
37,-5.516194032351295,-15.085992253901338
38,-7.1679320442140755,-14.335221797382594
39,-6.689173197990813,-14.838928996614626
40,-6.462720757490397,-15.839714557987056
41,-3.3462518573890927,-7.159753741569139
42,-3.186871999495968,-7.272103627561856
43,-3.0364110599599026,-7.094286326628832
44,-3.098820483378844,-7.304234351493867
45,-3.225157550932813,-7.106444801390146
46,-3.3374080267916297,-7.12641550509517
47,-3.1303826826811774,-6.756885570692634
48,-3.080571850790319,-6.771852150052885
49,-3.163046380862263,-7.061441267227755
50,-2.833510538766609,-6.485339043433843
51,-2.61519803296587,-4.916053024894209
52,-2.5210011132355055,-5.017247426563414
53,-2.4364478385087147,-4.304795309062462
54,-2.539174955602197,-3.6348957576769347
55,-2.485621292007711,-3.5388849967597324
56,-2.359939864464516,-4.092958907247735
57,-2.1540843909383995,-3.698379857981679
58,-2.352212386543819,-4.11902648870121
59,-2.4195442909684677,-3.553610298060169
60,-2.5479614182706185,-4.354234489267423
61,-2.6660344441987336,-3.675382318536997
62,-2.2097497195381988,-3.857316571596071
63,-2.6695702829617107,-3.997632489307421
64,-2.35985744779534,-4.310899629957727
65,-2.2886601492040115,-4.109947392002818
66,-2.489333253675646,-4.20865526742584
67,-2.4049663957660914,-3.8333226021552806
68,-2.21096298227899,-3.784975780017564
69,-5.210822870099087,-15.217273303656443
